Cities,c1a,c2a,c3a,c4a,c5a,c6a,c7a,c8a,c9a,c10a,c11a,c12a,c1p,c2p,c3p,c4p,c5p,c6p,c7p,c8p,c9p,c10p,c11p,c12p
BANYULE,11,8,10,4,4,15,32,56,79,70,65,48,68,63,59,80,98,111,81,47,30,26,30,27
BAYSIDE,10,10,7,10,8,10,32,64,93,89,70,62,63,51,54,94,97,80,66,41,17,27,10,16
BOROONDARA,13,9,18,12,8,23,51,109,156,107,95,91,96,104,95,114,148,173,180,82,52,40,33,19
BRIMBANK,41,29,29,15,22,44,93,123,130,121,124,113,134,124,145,197,211,213,197,126,92,84,77,71
CARDINIA,18,17,8,5,13,17,25,42,70,52,65,72,78,79,82,103,94,85,62,52,34,35,24,24
CASEY,39,37,32,26,25,46,88,142,181,151,143,124,164,168,171,250,272,289,235,152,106,82,78,57
DANDENONG,46,39,26,20,20,32,112,128,174,121,113,161,174,137,165,228,212,221,195,108,81,97,78,65
DAREBIN,32,22,15,9,16,19,36,90,142,133,84,124,118,124,107,133,161,167,142,90,41,57,40,37
FRANKSTON,13,14,12,14,5,19,39,48,82,57,63,92,70,99,73,98,117,138,104,65,45,45,35,26
GLEN EIRA,17,7,10,9,6,10,37,76,119,103,97,78,87,92,111,119,126,149,149,84,44,30,29,25
HOBSONS BAY,14,6,10,10,11,13,36,63,65,51,51,50,50,66,52,96,96,87,91,56,35,23,22,16
HUME,45,39,27,22,30,43,55,94,109,101,94,131,120,106,131,202,204,180,159,125,110,107,87,70
KINGSTON,16,13,11,8,10,21,83,84,131,100,107,96,124,109,124,165,151,152,114,77,61,40,32,19
KNOX,14,19,15,8,8,15,47,62,109,88,82,79,108,79,82,122,125,134,128,64,55,46,36,32
MANNINGHAM,12,9,6,6,7,8,21,47,63,56,52,50,39,42,54,70,78,99,71,29,23,37,23,17
MARIBYRNONG,13,12,4,12,10,16,20,50,96,64,45,50,71,63,55,95,89,100,66,41,47,29,21,15
MAROONDAH,10,14,9,9,6,20,44,45,77,64,64,64,89,85,59,104,98,115,77,43,29,29,27,20
MELBOURNE,79,55,63,46,39,55,123,240,377,277,208,199,262,216,211,275,305,391,376,214,122,124,139,92
MELTON,18,16,10,14,9,22,48,59,63,38,46,56,49,58,61,115,88,96,85,62,52,28,44,35
MONASH,27,23,26,17,16,20,57,119,195,132,97,111,120,115,115,178,177,203,157,109,62,60,56,27
MOONEE VALLEY,15,12,15,20,6,13,31,85,115,78,62,63,80,79,69,102,91,85,100,52,35,36,26,24
MORELAND,33,30,19,19,23,20,51,114,174,121,107,138,127,116,110,171,183,177,171,102,72,75,60,36
MORNINGTON PENINSULA,23,7,12,5,10,17,25,53,98,114,115,114,99,104,104,139,125,133,78,44,51,31,42,29
NILLUMBIK,12,4,5,6,6,8,22,35,43,39,39,46,40,41,34,53,67,60,41,35,18,17,17,8
PORT PHILLIP,13,29,11,17,12,11,41,72,151,89,88,77,77,78,95,85,117,146,143,64,53,44,43,33
STONNINGTON,19,20,18,15,19,18,34,63,145,84,72,93,91,94,81,110,122,164,123,77,47,39,33,32
WHITEHORSE,12,13,6,5,3,10,48,59,111,93,62,68,94,91,97,106,107,125,141,76,41,50,28,17
WHITTLESEA,23,18,15,21,12,20,52,98,107,115,95,106,94,108,104,161,170,182,153,106,72,70,54,50
WYNDHAM,20,14,16,14,13,33,87,88,141,81,59,74,75,77,92,147,132,136,114,76,50,47,38,29
YARRA,32,27,17,16,8,19,53,81,166,130,75,82,88,91,103,113,117,166,142,82,43,44,29,33
YARRA RANGES,32,22,16,19,12,21,58,82,93,110,151,145,166,136,160,185,187,176,130,79,57,50,60,34
